Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.19045,1.10083e-06,0.000121075,3.59096e-09,1.22404e-06,1.1938e-06
3,6.33674,2.05305e-06,0.000308201,1.54108e-08,1.05986e-06,9.55487e-06
4.5,6.45915,2.91384e-06,0.000574825,4.35413e-08,9.59164e-07,3.83149e-05
6,6.56789,3.71218e-06,0.000923005,9.94686e-08,8.90613e-07,0.00011151
7.5,6.66881,4.46473e-06,0.0013539,1.99726e-07,8.40576e-07,0.000269296
9,6.76571,5.18196e-06,0.00186783,3.68367e-07,8.02181e-07,0.000576467
10.5,6.86147,5.87083e-06,0.00246459,6.41254e-07,7.7156e-07,0.00113692
12,6.95857,6.53611e-06,0.00314377,1.07365e-06,7.46323e-07,0.00211924
13.5,7.05943,7.18109e-06,0.00390484,1.75413e-06,7.24849e-07,0.00380409
15,7.16669,7.80792e-06,0.00474721,2.83114e-06,7.05887e-07,0.00667569
16.5,7.28329,8.41766e-06,0.00567029,4.56498e-06,6.88274e-07,0.0116046
18,7.41224,9.0101e-06,0.00667346,7.42769e-06,6.70614e-07,0.0202108
19.5,7.55514,9.58321e-06,0.00775613,1.22661e-05,6.50834e-07,0.0354991
21,7.70837,1.01321e-05,0.00891768,2.04135e-05,6.25731e-07,0.0624619
22.5,7.8593,1.06483e-05,0.0101575,3.32935e-05,5.91397e-07,0.107063
24,7.99188,1.11214e-05,0.011475,5.13854e-05,5.45323e-07,0.172584
25.5,8.09804,1.15413e-05,0.0128695,7.38552e-05,4.87953e-07,0.257417
27,8.17865,1.19004e-05,0.0143405,9.9259e-05,4.21925e-07,0.356723
28.5,8.23788,1.21942e-05,0.0158874,0.000126142,3.5081e-07,0.464532
30,8.27998,1.24219e-05,0.0175096,0.000153229,2.78355e-07,0.574816
31.5,8.30838,1.25855e-05,0.0192064,0.000179461,2.08034e-07,0.682087
33,8.32573,1.26898e-05,0.0209774,0.000204008,1.42737e-07,0.781815
34.5,8.33412,1.27416e-05,0.022822,0.00022628,8.45773e-08,0.870701
36,8.33522,1.27484e-05,0.0247395,0.000245916,3.48208e-08,0.946766
37.5,8.33127,1.27239e-05,0.0267296,0.00026329,0,1.01171
39,8.3273,1.26994e-05,0.0287915,0.000281015,0,1.07774
40.5,8.3233,1.2675e-05,0.0309248,0.000299066,0,1.14476
42,8.31927,1.26506e-05,0.0331289,0.000317422,0,1.21268
43.5,8.31522,1.26262e-05,0.0354032,0.000336058,0,1.28141
45,8.31114,1.26018e-05,0.0377472,0.000354954,0,1.35085
46.5,8.30703,1.25775e-05,0.0401604,0.000374086,0,1.42091
48,8.30289,1.25532e-05,0.0426422,0.000393432,0,1.4915
49.5,8.29873,1.25289e-05,0.0451921,0.000412971,0,1.56255
51,8.29453,1.25046e-05,0.0478095,0.000432682,0,1.63396
52.5,8.29031,1.24804e-05,0.0504939,0.000452543,0,1.70564
54,8.28605,1.24561e-05,0.0532447,0.000472534,0,1.77753
55.5,8.28177,1.24319e-05,0.0560615,0.000492634,0,1.84953
