Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.19054,1.10144e-06,1.49798e-05,4.44447e-10,1.22391e-06,1.47836e-07
3,6.33684,2.05372e-06,1.59342e-05,7.97025e-10,1.05978e-06,4.94327e-07
4.5,6.45924,2.91453e-06,1.6798e-05,1.2728e-09,9.59132e-07,1.12029e-06
6,6.56799,3.71293e-06,1.76004e-05,1.89733e-09,8.90654e-07,2.12745e-06
7.5,6.66893,4.46569e-06,1.83581e-05,2.70921e-09,8.40743e-07,3.65369e-06
9,6.76591,5.1834e-06,1.90817e-05,3.7654e-09,8.0257e-07,5.89422e-06
10.5,6.86181,5.87323e-06,1.97784e-05,5.15108e-09,7.72335e-07,9.1364e-06
12,6.9592,6.54028e-06,2.04533e-05,6.99723e-09,7.47757e-07,1.38205e-05
13.5,7.06062,7.18834e-06,2.11102e-05,9.51316e-09,7.27391e-07,2.06516e-05
15,7.16894,7.82037e-06,2.17521e-05,1.30487e-08,7.10297e-07,3.08172e-05
16.5,7.2876,8.43877e-06,2.23813e-05,1.82167e-08,6.95866e-07,4.64247e-05
18,7.42055,9.04563e-06,2.29999e-05,2.61332e-08,6.83745e-07,7.13889e-05
19.5,7.5711,9.64291e-06,2.361e-05,3.88168e-08,6.73818e-07,0.000113039
21,7.73765,1.02327e-05,2.42134e-05,5.94468e-08,6.66161e-07,0.000183703
22.5,7.90775,1.08169e-05,2.48123e-05,9.11816e-08,6.60809e-07,0.00029786
24,8.0631,1.13975e-05,2.54085e-05,1.34404e-07,6.57392e-07,0.000462618
25.5,8.19434,1.19755e-05,2.60029e-05,1.86652e-07,6.55247e-07,0.000675034
27,8.3026,1.25515e-05,2.65964e-05,2.45222e-07,6.53826e-07,0.000929514
28.5,8.39253,1.31259e-05,2.71892e-05,3.08341e-07,6.52806e-07,0.00122225
30,8.46848,1.3699e-05,2.77815e-05,3.74995e-07,6.52013e-07,0.00155137
31.5,8.53377,1.42707e-05,2.83734e-05,4.44607e-07,6.51353e-07,0.00191612
33,8.59079,1.48413e-05,2.8965e-05,5.16829e-07,6.50773e-07,0.00231643
34.5,8.64126,1.54107e-05,2.95563e-05,5.91439e-07,6.50238e-07,0.00275253
36,8.68645,1.59789e-05,3.01474e-05,6.68284e-07,6.4973e-07,0.00322484
37.5,8.7273,1.6546e-05,3.07381e-05,7.47253e-07,6.49234e-07,0.00373387
39,8.76454,1.71119e-05,3.13286e-05,8.28259e-07,6.48742e-07,0.0042802
40.5,8.79871,1.76766e-05,3.19188e-05,9.11232e-07,6.48246e-07,0.00486439
42,8.83027,1.82402e-05,3.25086e-05,9.96114e-07,6.47742e-07,0.00548705
43.5,8.85956,1.88026e-05,3.30981e-05,1.08285e-06,6.47226e-07,0.00614875
45,8.88688,1.93638e-05,3.36872e-05,1.1714e-06,6.46694e-07,0.00685006
46.5,8.91245,1.99237e-05,3.42759e-05,1.26171e-06,6.46146e-07,0.00759154
48,8.93649,2.04824e-05,3.48642e-05,1.35375e-06,6.45579e-07,0.00837371
