Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
2.5,6.28042,1.67562e-06,1.63144e-05,6.69387e-10,1.11663e-06,3.3873e-07
5,6.48288,3.08597e-06,1.90949e-05,1.56407e-09,9.42759e-07,1.45763e-06
7.5,6.65361,4.35133e-06,2.23576e-05,3.14825e-09,8.47595e-07,4.13707e-06
10,6.81279,5.52392e-06,2.61687e-05,5.92092e-09,7.86955e-07,9.87727e-06
12.5,6.973,6.63144e-06,3.05592e-05,1.08592e-08,7.44693e-07,2.17473e-05
15,7.14578,7.6907e-06,3.55446e-05,2.00708e-08,7.13588e-07,4.66156e-05
17.5,7.34542,8.71317e-06,4.11332e-05,3.87439e-08,6.90106e-07,0.000101948
20,7.58876,9.70812e-06,4.73305e-05,8.12228e-08,6.72782e-07,0.00023813
22.5,7.86986,1.06848e-05,5.4142e-05,1.81947e-07,6.61621e-07,0.000587099
25,8.1237,1.16512e-05,6.15716e-05,3.75091e-07,6.55827e-07,0.00131979
27.5,8.3127,1.26111e-05,6.96193e-05,6.57019e-07,6.52695e-07,0.00250226
30,8.45189,1.35659e-05,7.82824e-05,1.01726e-06,6.50422e-07,0.00416756
32.5,8.55913,1.45156e-05,8.7557e-05,1.45366e-06,6.48299e-07,0.00637231
35,8.64536,1.54598e-05,9.74388e-05,1.96801e-06,6.46023e-07,0.00918823
37.5,8.71701,1.63979e-05,0.000107923,2.56339e-06,6.43435e-07,0.0126941
40,8.77802,1.73292e-05,0.000119006,3.2431e-06,6.40427e-07,0.0169722
42.5,8.83094,1.82527e-05,0.000130682,4.01034e-06,6.36916e-07,0.0221059
45,8.87752,1.91674e-05,0.000142946,4.86802e-06,6.32831e-07,0.0281783
47.5,8.91898,2.00723e-05,0.000155794,5.81868e-06,6.28108e-07,0.0352713
50,8.95622,2.09661e-05,0.00016922,6.86447e-06,6.2269e-07,0.0434636
52.5,8.98991,2.18477e-05,0.00018322,8.00708e-06,6.16523e-07,0.05283
55,9.02056,2.27159e-05,0.000197788,9.24773e-06,6.09559e-07,0.0634402
57.5,9.04859,2.35691e-05,0.000212919,1.05872e-05,6.01754e-07,0.0753571
60,9.07431,2.44062e-05,0.000228609,1.20257e-05,5.9307e-07,0.0886364
62.5,9.09799,2.52258e-05,0.000244851,1.35631e-05,5.83476e-07,0.103325
65,9.11983,2.60263e-05,0.000261641,1.51987e-05,5.72946e-07,0.119459
67.5,9.14002,2.68065e-05,0.000278974,1.69312e-05,5.61464e-07,0.137065
70,9.15871,2.75649e-05,0.000296844,1.87589e-05,5.49018e-07,0.156158
72.5,9.17601,2.83001e-05,0.000315247,2.06798e-05,5.35608e-07,0.176739
75,9.19204,2.90107e-05,0.000334177,2.2691e-05,5.21239e-07,0.198798
77.5,9.20689,2.96955e-05,0.000353629,2.47896e-05,5.05928e-07,0.22231
80,9.22064,3.03531e-05,0.000373599,2.69719e-05,4.89699e-07,0.247238
82.5,9.23335,3.09823e-05,0.000394082,2.92341e-05,4.72584e-07,0.273529
85,9.24509,3.1582e-05,0.000415072,3.15716e-05,4.54627e-07,0.301118
87.5,9.25591,3.21512e-05,0.000436565,3.39799e-05,4.35878e-07,0.329928
90,9.26585,3.26888e-05,0.000458556,3.64538e-05,4.16395e-07,0.359867
92.5,9.27497,3.3194e-05,0.000481042,3.8988e-05,3.96247e-07,0.390832
95,9.2833,3.36661e-05,0.000504017,4.15767e-05,3.75506e-07,0.422711
97.5,9.29088,3.41044e-05,0.000527478,4.42142e-05,3.54252e-07,0.455378
100,9.29773,3.45085e-05,0.00055142,4.68943e-05,3.32572e-07,0.488704
102.5,9.30389,3.48779e-05,0.00057584,4.96108e-05,3.10554e-07,0.522549
105,9.30938,3.52125e-05,0.000600733,5.23575e-05,2.88293e-07,0.55677
107.5,9.31423,3.55122e-05,0.000626097,5.51278e-05,2.65884e-07,0.591219
110,9.31847,3.5777e-05,0.000651928,5.79156e-05,2.43423e-07,0.625749
112.5,9.32211,3.60072e-05,0.000678221,6.07144e-05,2.21008e-07,0.660209
115,9.32519,3.62031e-05,0.000704976,6.35179e-05,1.98735e-07,0.694452
117.5,9.32772,3.63653e-05,0.000732187,6.63199e-05,1.76696e-07,0.728335
120,9.32971,3.64943e-05,0.000759854,6.91146e-05,1.54982e-07,0.761719
122.5,9.3312,3.65908e-05,0.000787972,7.18961e-05,1.3368e-07,0.79447
125,9.3322,3.66559e-05,0.000816539,7.46587e-05,1.1287e-07,0.826465
127.5,9.33273,3.66904e-05,0.000845553,7.73972e-05,9.26276e-08,0.857587
130,9.33281,3.66954e-05,0.000875012,8.01066e-05,7.30226e-08,0.887729
132.5,9.33245,3.66721e-05,0.000904913,8.27822e-05,5.41167e-08,0.916797
135,9.33168,3.66218e-05,0.000935254,8.54194e-05,3.59648e-08,0.944705
137.5,9.33051,3.65457e-05,0.000966034,8.80144e-05,1.8614e-08,0.971381
140,9.32895,3.64452e-05,0.000997249,9.05635e-05,2.10252e-09,0.996767
142.5,9.32735,3.63419e-05,0.00102892,9.31264e-05,0,1.02207
145,9.32575,3.62391e-05,0.00106104,9.57119e-05,0,1.04747
147.5,9.32415,3.61366e-05,0.00109362,9.83195e-05,0,1.07297
150,9.32255,3.60346e-05,0.00112664,0.000100948,0,1.09855
152.5,9.32094,3.5933e-05,0.00116011,0.000103598,0,1.12421
155,9.31934,3.58319e-05,0.00119402,0.000106268,0,1.14993
157.5,9.31774,3.57311e-05,0.00122836,0.000108957,0,1.17572
160,9.31614,3.56308e-05,0.00126315,0.000111666,0,1.20156
162.5,9.31453,3.5531e-05,0.00129836,0.000114393,0,1.22746
165,9.31293,3.54315e-05,0.001334,0.000117138,0,1.25339
167.5,9.31133,3.53325e-05,0.00137006,0.0001199,0,1.27936
170,9.30973,3.52339e-05,0.00140655,0.000122679,0,1.30536
172.5,9.30813,3.51358e-05,0.00144346,0.000125474,0,1.33139
175,9.30652,3.5038e-05,0.00148078,0.000128285,0,1.35743
177.5,9.30492,3.49407e-05,0.00151851,0.000131111,0,1.38348
180,9.30332,3.48438e-05,0.00155665,0.000133952,0,1.40953
182.5,9.30172,3.47473e-05,0.0015952,0.000136807,0,1.43559
185,9.30012,3.46513e-05,0.00163415,0.000139675,0,1.46164
187.5,9.29852,3.45556e-05,0.0016735,0.000142557,0,1.48767
190,9.29692,3.44604e-05,0.00171325,0.000145451,0,1.51369
192.5,9.29532,3.43656e-05,0.00175339,0.000148357,0,1.53969
195,9.29372,3.42712e-05,0.00179392,0.000151275,0,1.56565
197.5,9.29212,3.41771e-05,0.00183484,0.000154203,0,1.59159
200,9.29052,3.40835e-05,0.00187614,0.000157143,0,1.61748
202.5,9.28892,3.39903e-05,0.00191783,0.000160092,0,1.64333
205,9.28732,3.38975e-05,0.00195989,0.000163051,0,1.66913
207.5,9.28572,3.3805e-05,0.00200233,0.000166019,0,1.69488
210,9.28412,3.3713e-05,0.00204514,0.000168996,0,1.72058
212.5,9.28252,3.36213e-05,0.00208831,0.000171981,0,1.74621
215,9.28092,3.353e-05,0.00213186,0.000174974,0,1.77177
217.5,9.27932,3.34391e-05,0.00217577,0.000177974,0,1.79726
220,9.27772,3.33485e-05,0.00222004,0.000180981,0,1.82268
222.5,9.27612,3.32583e-05,0.00226467,0.000183995,0,1.84802
225,9.27452,3.31685e-05,0.00230965,0.000187014,0,1.87327
227.5,9.27292,3.30791e-05,0.00235498,0.000190039,0,1.89844
230,9.27132,3.299e-05,0.00240066,0.000193069,0,1.92351
232.5,9.26972,3.29012e-05,0.00244669,0.000196104,0,1.94849
235,9.26811,3.28128e-05,0.00249306,0.000199143,0,1.97337
237.5,9.26651,3.27248e-05,0.00253978,0.000202186,0,1.99815
240,9.26491,3.26371e-05,0.00258683,0.000205232,0,2.02282
242.5,9.26331,3.25497e-05,0.00263421,0.000208282,0,2.04738
245,9.2617,3.24627e-05,0.00268193,0.000211334,0,2.07182
247.5,9.2601,3.2376e-05,0.00272997,0.000214388,0,2.09615
250,9.25849,3.22896e-05,0.00277834,0.000217444,0,2.12036
252.5,9.25689,3.22036e-05,0.00282704,0.000220501,0,2.14445
255,9.25528,3.21179e-05,0.00287605,0.00022356,0,2.16841
257.5,9.25368,3.20325e-05,0.00292539,0.000226619,0,2.19224
