Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
2.5,6.27988,1.67209e-06,7.78896e-05,3.18976e-09,1.1172e-06,1.61071e-06
5,6.48194,3.07911e-06,0.00018783,1.53377e-08,9.43383e-07,1.42622e-05
7.5,6.65188,4.33844e-06,0.000342703,4.80019e-08,8.48333e-07,6.28915e-05
10,6.80963,5.50117e-06,0.00054099,1.2129e-07,7.87804e-07,0.000201503
12.5,6.96731,6.59401e-06,0.000780352,2.72999e-07,7.45551e-07,0.000543639
15,7.13559,7.63263e-06,0.00105818,5.81743e-07,7.14175e-07,0.00134093
17.5,7.32683,8.62682e-06,0.00137186,1.23314e-06,6.8971e-07,0.00321264
20,7.55491,9.58235e-06,0.00171886,2.71682e-06,6.69496e-07,0.007862
22.5,7.81618,1.05005e-05,0.00209676,6.20552e-06,6.50531e-07,0.0196784
25,8.05772,1.13759e-05,0.00250325,1.30762e-05,6.28243e-07,0.0449227
27.5,8.2385,1.21974e-05,0.00293612,2.33455e-05,5.98801e-07,0.0859948
30,8.36701,1.29526e-05,0.00339328,3.62902e-05,5.61011e-07,0.141953
32.5,8.45989,1.36295e-05,0.00387275,5.12565e-05,5.15302e-07,0.210974
35,8.52822,1.42189e-05,0.00437264,6.76562e-05,4.63034e-07,0.290519
37.5,8.57875,1.47147e-05,0.00489118,8.49155e-05,4.06187e-07,0.377345
40,8.61574,1.51147e-05,0.00542667,0.000102479,3.47096e-07,0.467771
42.5,8.64208,1.54204e-05,0.00597753,0.000119834,2.88163e-07,0.558052
45,8.65982,1.56369e-05,0.00654224,0.000136537,2.31595e-07,0.644764
47.5,8.67053,1.5772e-05,0.0071194,0.000152233,1.79211e-07,0.725095
50,8.67547,1.58353e-05,0.00770766,0.000166664,1.32318e-07,0.79702
52.5,8.67565,1.58377e-05,0.00830575,0.00017967,9.16918e-08,0.859342
55,8.67193,1.57899e-05,0.00891248,0.000191179,5.76061e-08,0.911633
57.5,8.66511,1.57032e-05,0.00952672,0.000201221,2.9828e-08,0.954246
60,8.65596,1.55891e-05,0.0101474,0.000209934,7.60565e-09,0.988334
