Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.57321,3.75168e-06,1.76193e-05,1.93102e-09,8.87782e-07,2.18783e-06
3,6.96891,6.6045e-06,2.0452e-05,7.18634e-09,7.45595e-07,1.43334e-05
4.5,7.43574,9.10978e-06,2.29288e-05,2.70516e-08,6.82582e-07,7.4422e-05
6,8.07403,1.14418e-05,2.52253e-05,1.36881e-07,6.57194e-07,0.000472975
7.5,8.46924,1.37052e-05,2.74468e-05,3.71123e-07,6.52018e-07,0.00153604
9,8.68256,1.59276e-05,2.96217e-05,6.50879e-07,6.49808e-07,0.00313078
10.5,8.82336,1.81133e-05,3.17546e-05,9.58077e-07,6.47923e-07,0.00524079
12,8.92721,2.02629e-05,3.3847e-05,1.28746e-06,6.45923e-07,0.00787836
13.5,9.00886,2.23767e-05,3.58995e-05,1.63583e-06,6.43677e-07,0.0110543
15,9.07574,2.44544e-05,3.79127e-05,2.00061e-06,6.41133e-07,0.0147747
16.5,9.13211,2.64958e-05,3.98867e-05,2.37957e-06,6.38268e-07,0.0190404
18,9.1806,2.85005e-05,4.18219e-05,2.77071e-06,6.35072e-07,0.0238475
19.5,9.22299,3.04681e-05,4.37185e-05,3.17218e-06,6.31545e-07,0.029188
21,9.26051,3.23981e-05,4.55768e-05,3.58232e-06,6.27689e-07,0.0350497
22.5,9.29404,3.42903e-05,4.73971e-05,3.99957e-06,6.23512e-07,0.0414176
24,9.32427,3.61442e-05,4.918e-05,4.42251e-06,6.19024e-07,0.0482734
25.5,9.35169,3.79595e-05,5.09257e-05,4.84985e-06,6.14236e-07,0.0555966
27,9.37671,3.97358e-05,5.26349e-05,5.28038e-06,6.09163e-07,0.0633648
28.5,9.39966,4.1473e-05,5.43081e-05,5.71303e-06,6.03819e-07,0.0715538
30,9.4208,4.31709e-05,5.59461e-05,6.1468e-06,5.98221e-07,0.0801384
31.5,9.44033,4.48292e-05,5.75496e-05,6.58081e-06,5.92384e-07,0.0890924
33,9.45844,4.64479e-05,5.91196e-05,7.01425e-06,5.86326e-07,0.0983893
34.5,9.47528,4.80269e-05,6.0657e-05,7.44642e-06,5.80064e-07,0.108002
36,9.49097,4.95662e-05,6.21628e-05,7.87668e-06,5.73616e-07,0.117904
37.5,9.50563,5.10658e-05,6.36383e-05,8.30449e-06,5.66998e-07,0.128069
39,9.51935,5.25257e-05,6.50846e-05,8.72939e-06,5.60226e-07,0.13847
40.5,9.5322,5.39463e-05,6.65032e-05,9.15097e-06,5.53318e-07,0.149083
42,9.54428,5.53275e-05,6.78955e-05,9.56893e-06,5.46289e-07,0.159884
43.5,9.55563,5.66696e-05,6.92629e-05,9.98299e-06,5.39154e-07,0.170849
45,9.56631,5.79729e-05,7.06071e-05,1.0393e-05,5.31926e-07,0.181956
46.5,9.57637,5.92377e-05,7.19298e-05,1.07988e-05,5.24621e-07,0.193184
48,9.58586,6.04642e-05,7.32328e-05,1.12003e-05,5.17249e-07,0.204516
49.5,9.59482,6.16528e-05,7.45179e-05,1.15975e-05,5.09822e-07,0.215932
51,9.60328,6.28038e-05,7.5787e-05,1.19904e-05,5.02351e-07,0.227416
52.5,9.61128,6.39177e-05,7.70421e-05,1.23792e-05,4.94846e-07,0.238954
54,9.61884,6.49948e-05,7.82853e-05,1.27639e-05,4.87315e-07,0.250532
55.5,9.62599,6.60356e-05,7.95186e-05,1.31448e-05,4.79765e-07,0.262139
57,9.63275,6.70405e-05,8.07443e-05,1.3522e-05,4.72204e-07,0.273765
58.5,9.63916,6.80099e-05,8.19647e-05,1.38957e-05,4.64636e-07,0.2854
60,9.64522,6.89442e-05,8.31818e-05,1.42663e-05,4.57068e-07,0.297037
61.5,9.65095,6.98439e-05,8.43982e-05,1.46341e-05,4.49502e-07,0.308671
63,9.65638,7.07094e-05,8.56162e-05,1.49994e-05,4.41941e-07,0.320296
64.5,9.66152,7.15412e-05,8.68382e-05,1.53625e-05,4.34389e-07,0.331909
66,9.66638,7.23396e-05,8.80666e-05,1.57239e-05,4.26846e-07,0.343508
67.5,9.67097,7.31052e-05,8.93041e-05,1.60839e-05,4.19313e-07,0.355092
69,9.67531,7.38382e-05,9.05531e-05,1.6443e-05,4.1179e-07,0.366659
70.5,9.67941,7.45391e-05,9.18161e-05,1.68016e-05,4.04278e-07,0.378212
72,9.68328,7.52083e-05,9.30959e-05,1.71602e-05,3.96774e-07,0.389752
73.5,9.68692,7.58461e-05,9.43951e-05,1.75192e-05,3.89278e-07,0.40128
75,9.69036,7.6453e-05,9.57163e-05,1.78791e-05,3.81787e-07,0.4128
76.5,9.69358,7.70292e-05,9.70622e-05,1.82403e-05,3.74299e-07,0.424315
78,9.69661,7.75751e-05,9.84356e-05,1.86035e-05,3.66812e-07,0.435829
79.5,9.69945,7.8091e-05,9.98392e-05,1.8969e-05,3.59322e-07,0.447348
81,9.7021,7.85772e-05,0.000101276,1.93374e-05,3.51827e-07,0.458874
82.5,9.70458,7.9034e-05,0.000102748,1.97091e-05,3.44324e-07,0.470414
84,9.70688,7.94616e-05,0.000104259,2.00847e-05,3.36809e-07,0.481972
85.5,9.709,7.98604e-05,0.000105812,2.04646e-05,3.29278e-07,0.493554
87,9.71097,8.02305e-05,0.000107409,2.08494e-05,3.21728e-07,0.505165
88.5,9.71277,8.05722e-05,0.000109053,2.12396e-05,3.14157e-07,0.51681
90,9.71442,8.08859e-05,0.000110748,2.16356e-05,3.06558e-07,0.528497
91.5,9.71591,8.11718e-05,0.000112496,2.20381e-05,2.98929e-07,0.54023
93,9.71726,8.14301e-05,0.000114301,2.24474e-05,2.91266e-07,0.552015
94.5,9.71846,8.16612e-05,0.000116165,2.28641e-05,2.83566e-07,0.563859
96,9.71951,8.18653e-05,0.000118092,2.32887e-05,2.75824e-07,0.575766
97.5,9.72042,8.20425e-05,0.000120084,2.37217e-05,2.6804e-07,0.587739
99,9.7212,8.21931e-05,0.000122146,2.41634e-05,2.60209e-07,0.599782
100.5,9.72183,8.23173e-05,0.000124279,2.46143e-05,2.52332e-07,0.611898
102,9.72233,8.24152e-05,0.000126487,2.50749e-05,2.44406e-07,0.624088
103.5,9.7227,8.24869e-05,0.000128773,2.55454e-05,2.36432e-07,0.636353
105,9.72293,8.25327e-05,0.000131141,2.60264e-05,2.28408e-07,0.648694
106.5,9.72304,8.25527e-05,0.000133594,2.65181e-05,2.20336e-07,0.661109
108,9.72301,8.25471e-05,0.000136134,2.70208e-05,2.12217e-07,0.673598
109.5,9.72285,8.25159e-05,0.000138765,2.7535e-05,2.04052e-07,0.686156
111,9.72256,8.24594e-05,0.00014149,2.80608e-05,1.95843e-07,0.698781
112.5,9.72214,8.23778e-05,0.000144313,2.85986e-05,1.87595e-07,0.711467
114,9.7216,8.22711e-05,0.000147237,2.91486e-05,1.7931e-07,0.72421
115.5,9.72092,8.21396e-05,0.000150265,2.97109e-05,1.70993e-07,0.737002
117,9.72012,8.19834e-05,0.0001534,3.02859e-05,1.62649e-07,0.749837
118.5,9.71919,8.18028e-05,0.000156647,3.08737e-05,1.54282e-07,0.762705
120,9.71813,8.1598e-05,0.000160008,3.14743e-05,1.459e-07,0.775597
121.5,9.71694,8.13693e-05,0.000163486,3.2088e-05,1.37509e-07,0.788503
123,9.71563,8.11168e-05,0.000167086,3.27148e-05,1.29116e-07,0.801412
124.5,9.71418,8.0841e-05,0.000170811,3.33548e-05,1.2073e-07,0.814311
126,9.71261,8.0542e-05,0.000174664,3.4008e-05,1.12358e-07,0.827188
127.5,9.71092,8.02203e-05,0.000178649,3.46745e-05,1.04008e-07,0.84003
129,9.70909,7.98762e-05,0.00018277,3.53542e-05,9.56917e-08,0.852821
130.5,9.70713,7.95101e-05,0.000187029,3.6047e-05,8.74169e-08,0.865549
132,9.70505,7.91224e-05,0.000191432,3.67529e-05,7.91939e-08,0.878196
133.5,9.70284,7.87136e-05,0.000195981,3.74719e-05,7.10328e-08,0.890748
135,9.70051,7.82841e-05,0.000200681,3.82037e-05,6.29443e-08,0.903189
136.5,9.69804,7.78345e-05,0.000205535,3.89482e-05,5.49387e-08,0.915502
138,9.69545,7.73653e-05,0.000210547,3.97052e-05,4.70268e-08,0.927671
139.5,9.69274,7.6877e-05,0.00021572,4.04746e-05,3.92194e-08,0.939679
141,9.68989,7.63703e-05,0.000221059,4.12561e-05,3.15272e-08,0.95151
142.5,9.68692,7.58458e-05,0.000226568,4.20495e-05,2.39608e-08,0.963148
144,9.68383,7.53042e-05,0.00023225,4.28544e-05,1.65308e-08,0.974575
145.5,9.68061,7.47461e-05,0.000238109,4.36707e-05,9.24743e-09,0.985777
147,9.67727,7.41724e-05,0.00024415,4.44979e-05,2.12016e-09,0.996739
148.5,9.67387,7.3593e-05,0.000250385,4.53421e-05,0,1.00772
150,9.67049,7.30245e-05,0.000256834,4.62146e-05,0,1.01917
151.5,9.66714,7.24667e-05,0.000263501,4.71152e-05,0,1.0311
153,9.66383,7.19192e-05,0.000270388,4.8044e-05,0,1.04348
154.5,9.66054,7.13818e-05,0.000277497,4.90009e-05,0,1.05631
156,9.65728,7.0854e-05,0.000284832,4.99859e-05,0,1.06958
157.5,9.65405,7.03358e-05,0.000292395,5.0999e-05,0,1.08327
159,9.65084,6.98267e-05,0.000300189,5.20401e-05,0,1.09739
160.5,9.64767,6.93265e-05,0.000308218,5.31093e-05,0,1.11191
162,9.64451,6.8835e-05,0.000316483,5.42065e-05,0,1.12684
163.5,9.64139,6.83519e-05,0.000324987,5.53317e-05,0,1.14215
165,9.63829,6.7877e-05,0.000333735,5.64849e-05,0,1.15786
166.5,9.63521,6.741e-05,0.000342727,5.7666e-05,0,1.17394
168,9.63216,6.69508e-05,0.000351967,5.88751e-05,0,1.19038
169.5,9.62913,6.64991e-05,0.000361459,6.01121e-05,0,1.2072
171,9.62612,6.60547e-05,0.000371203,6.13769e-05,0,1.22436
172.5,9.62313,6.56175e-05,0.000381205,6.26696e-05,0,1.24187
174,9.62017,6.51871e-05,0.000391465,6.39901e-05,0,1.25972
175.5,9.61723,6.47636e-05,0.000401987,6.53384e-05,0,1.27791
177,9.61431,6.43465e-05,0.000412774,6.67144e-05,0,1.29642
178.5,9.61141,6.39359e-05,0.000423828,6.81181e-05,0,1.31525
180,9.60853,6.35315e-05,0.000435152,6.95495e-05,0,1.33439
181.5,9.60566,6.31332e-05,0.000446748,7.10084e-05,0,1.35384
183,9.60282,6.27407e-05,0.00045862,7.24949e-05,0,1.37359
184.5,9.6,6.2354e-05,0.00047077,7.40088e-05,0,1.39363
186,9.59719,6.19729e-05,0.000483201,7.55502e-05,0,1.41396
187.5,9.59441,6.15972e-05,0.000495915,7.71189e-05,0,1.43457
189,9.59164,6.12269e-05,0.000508914,7.87149e-05,0,1.45546
190.5,9.58888,6.08618e-05,0.000522202,8.03381e-05,0,1.47661
192,9.58615,6.05017e-05,0.000535781,8.19884e-05,0,1.49803
193.5,9.58343,6.01465e-05,0.000549652,8.36657e-05,0,1.5197
195,9.58072,5.97961e-05,0.00056382,8.53699e-05,0,1.54162
196.5,9.57804,5.94504e-05,0.000578286,8.7101e-05,0,1.56379
198,9.57536,5.91093e-05,0.000593053,8.88589e-05,0,1.5862
199.5,9.5727,5.87727e-05,0.000608123,9.06434e-05,0,1.60884
201,9.57006,5.84403e-05,0.000623498,9.24544e-05,0,1.6317
202.5,9.56743,5.81123e-05,0.000639181,9.42918e-05,0,1.65479
204,9.56481,5.77884e-05,0.000655175,9.61555e-05,0,1.67809
205.5,9.56221,5.74685e-05,0.00067148,9.80454e-05,0,1.7016
207,9.55962,5.71525e-05,0.0006881,9.99612e-05,0,1.72531
208.5,9.55704,5.68404e-05,0.000705038,0.000101903,0,1.74922
210,9.55448,5.65321e-05,0.000722294,0.000103871,0,1.77332
211.5,9.55193,5.62275e-05,0.000739871,0.000105864,0,1.79761
213,9.54939,5.59264e-05,0.000757772,0.000107882,0,1.82208
214.5,9.54686,5.56288e-05,0.000775998,0.000109926,0,1.84672
216,9.54434,5.53347e-05,0.000794552,0.000111995,0,1.87153
217.5,9.54183,5.50439e-05,0.000813435,0.000114089,0,1.8965
219,9.53933,5.47564e-05,0.00083265,0.000116207,0,1.92163
220.5,9.53685,5.44722e-05,0.000852198,0.000118351,0,1.94691
222,9.53437,5.4191e-05,0.000872082,0.000120518,0,1.97234
223.5,9.53191,5.3913e-05,0.000892303,0.000122711,0,1.99791
225,9.52945,5.3638e-05,0.000912863,0.000124927,0,2.02362
226.5,9.52701,5.3366e-05,0.000933764,0.000127167,0,2.04945
228,9.52457,5.30969e-05,0.000955008,0.000129431,0,2.07542
229.5,9.52214,5.28306e-05,0.000976597,0.000131718,0,2.10151
231,9.51973,5.25672e-05,0.000998532,0.000134029,0,2.12771
232.5,9.51732,5.23065e-05,0.00102081,0.000136363,0,2.15403
234,9.51492,5.20485e-05,0.00104345,0.00013872,0,2.18045
235.5,9.51253,5.17932e-05,0.00106643,0.000141099,0,2.20698
237,9.51015,5.15405e-05,0.00108977,0.000143502,0,2.2336
238.5,9.50777,5.12903e-05,0.00111346,0.000145926,0,2.26031
240,9.50541,5.10426e-05,0.0011375,0.000148373,0,2.28711
241.5,9.50305,5.07974e-05,0.00116191,0.000150841,0,2.314
243,9.5007,5.05546e-05,0.00118667,0.000153332,0,2.34096
244.5,9.49836,5.03142e-05,0.00121179,0.000155843,0,2.36799
246,9.49602,5.00762e-05,0.00123727,0.000158376,0,2.39509
247.5,9.4937,4.98404e-05,0.00126312,0.00016093,0,2.42225
249,9.49138,4.96069e-05,0.00128933,0.000163505,0,2.44947
250.5,9.48906,4.93755e-05,0.0013159,0.0001661,0,2.47675
252,9.48676,4.91464e-05,0.00134285,0.000168716,0,2.50407
