Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.57321,3.75168e-06,1.76193e-05,1.93102e-09,8.87782e-07,2.18783e-06
3,6.96891,6.6045e-06,2.0452e-05,7.18633e-09,7.45595e-07,1.43333e-05
4.5,7.43574,9.10978e-06,2.29287e-05,2.70514e-08,6.82582e-07,7.44215e-05
6,8.07403,1.14418e-05,2.52249e-05,1.36879e-07,6.57194e-07,0.000472967
7.5,8.46924,1.37052e-05,2.74461e-05,3.71112e-07,6.52018e-07,0.001536
9,8.68256,1.59276e-05,2.96203e-05,6.50846e-07,6.49808e-07,0.00313061
10.5,8.82336,1.81132e-05,3.17521e-05,9.57997e-07,6.47923e-07,0.00524035
12,8.92721,2.02629e-05,3.38427e-05,1.28729e-06,6.45924e-07,0.00787732
13.5,9.00886,2.23766e-05,3.58927e-05,1.63551e-06,6.43678e-07,0.0110522
15,9.07574,2.44544e-05,3.79023e-05,2.00005e-06,6.41136e-07,0.0147706
16.5,9.1321,2.64958e-05,3.98714e-05,2.37865e-06,6.38273e-07,0.019033
18,9.1806,2.85005e-05,4.18e-05,2.76925e-06,6.3508e-07,0.023835
19.5,9.22299,3.04681e-05,4.36881e-05,3.16998e-06,6.31558e-07,0.0291676
21,9.26051,3.23982e-05,4.55355e-05,3.57908e-06,6.2771e-07,0.0350181
22.5,9.29405,3.42905e-05,4.73422e-05,3.99495e-06,6.23543e-07,0.04137
24,9.32427,3.61445e-05,4.9108e-05,4.41609e-06,6.19069e-07,0.0482038
25.5,9.3517,3.79601e-05,5.0833e-05,4.84111e-06,6.14301e-07,0.0554974
27,9.37673,3.97369e-05,5.25171e-05,5.26872e-06,6.09253e-07,0.0632265
28.5,9.39968,4.14746e-05,5.41603e-05,5.69772e-06,6.03942e-07,0.0713648
30,9.42083,4.31733e-05,5.57626e-05,6.12701e-06,5.98386e-07,0.0798847
31.5,9.44037,4.48326e-05,5.73243e-05,6.55557e-06,5.92602e-07,0.0887574
33,9.45849,4.64527e-05,5.88453e-05,6.98245e-06,5.8661e-07,0.0979533
34.5,9.47535,4.80335e-05,6.0326e-05,7.40681e-06,5.80428e-07,0.107442
36,9.49106,4.9575e-05,6.17665e-05,7.82785e-06,5.74078e-07,0.117194
37.5,9.50574,5.10774e-05,6.31672e-05,8.24487e-06,5.67577e-07,0.127178
39,9.51949,5.25409e-05,6.45285e-05,8.65721e-06,5.60945e-07,0.137365
40.5,9.53238,5.39658e-05,6.58506e-05,9.0643e-06,5.54202e-07,0.147725
42,9.54449,5.53523e-05,6.71342e-05,9.46562e-06,5.47365e-07,0.158229
43.5,9.55588,5.67008e-05,6.83795e-05,9.86071e-06,5.40454e-07,0.168849
45,9.56662,5.80117e-05,6.95873e-05,1.02492e-05,5.33485e-07,0.179558
46.5,9.57675,5.92855e-05,7.07581e-05,1.06306e-05,5.26476e-07,0.19033
48,9.58631,6.05226e-05,7.18924e-05,1.10048e-05,5.19442e-07,0.201141
49.5,9.59535,6.17236e-05,7.2991e-05,1.13715e-05,5.12399e-07,0.211967
51,9.6039,6.28891e-05,7.40545e-05,1.17304e-05,5.05361e-07,0.222786
52.5,9.612,6.40197e-05,7.50836e-05,1.20814e-05,4.98341e-07,0.233578
54,9.61968,6.51161e-05,7.60791e-05,1.24243e-05,4.91352e-07,0.244322
55.5,9.62696,6.61788e-05,7.70416e-05,1.27592e-05,4.84406e-07,0.255001
57,9.63387,6.72087e-05,7.79721e-05,1.30858e-05,4.77513e-07,0.265598
58.5,9.64044,6.82064e-05,7.88712e-05,1.34041e-05,4.70683e-07,0.276098
60,9.64668,6.91726e-05,7.97397e-05,1.37143e-05,4.63926e-07,0.286489
61.5,9.65262,7.01082e-05,8.05785e-05,1.40162e-05,4.57248e-07,0.296756
63,9.65827,7.10138e-05,8.13883e-05,1.43099e-05,4.50658e-07,0.306888
64.5,9.66365,7.18902e-05,8.21701e-05,1.45956e-05,4.44162e-07,0.316877
66,9.66878,7.27383e-05,8.29245e-05,1.48732e-05,4.37765e-07,0.326713
67.5,9.67366,7.35588e-05,8.36525e-05,1.51428e-05,4.31472e-07,0.336389
69,9.67832,7.43524e-05,8.43548e-05,1.54047e-05,4.25288e-07,0.345898
70.5,9.68277,7.51199e-05,8.50322e-05,1.56589e-05,4.19217e-07,0.355235
72,9.68702,7.58622e-05,8.56855e-05,1.59055e-05,4.1326e-07,0.364395
73.5,9.69107,7.65799e-05,8.63156e-05,1.61447e-05,4.0742e-07,0.373374
75,9.69495,7.72739e-05,8.69231e-05,1.63766e-05,4.017e-07,0.38217
76.5,9.69865,7.79449e-05,8.7509e-05,1.66015e-05,3.96101e-07,0.390781
78,9.70219,7.85936e-05,8.80738e-05,1.68194e-05,3.90622e-07,0.399206
79.5,9.70558,7.92207e-05,8.86183e-05,1.70305e-05,3.85266e-07,0.407443
81,9.70883,7.9827e-05,8.91434e-05,1.72351e-05,3.80031e-07,0.415494
82.5,9.71193,8.04132e-05,8.96496e-05,1.74333e-05,3.74918e-07,0.423357
84,9.71491,8.09799e-05,9.01376e-05,1.76252e-05,3.69925e-07,0.431035
85.5,9.71776,8.15279e-05,9.06082e-05,1.78111e-05,3.65052e-07,0.438528
87,9.7205,8.20577e-05,9.1062e-05,1.79911e-05,3.60299e-07,0.445839
88.5,9.72312,8.25701e-05,9.14996e-05,1.81654e-05,3.55662e-07,0.452969
90,9.72564,8.30656e-05,9.19217e-05,1.83342e-05,3.51141e-07,0.459922
91.5,9.72806,8.35448e-05,9.23288e-05,1.84977e-05,3.46734e-07,0.466699
93,9.73038,8.40084e-05,9.27215e-05,1.8656e-05,3.42439e-07,0.473304
94.5,9.73261,8.44569e-05,9.31004e-05,1.88092e-05,3.38255e-07,0.47974
96,9.73476,8.48909e-05,9.3466e-05,1.89576e-05,3.34177e-07,0.48601
97.5,9.73682,8.53109e-05,9.38189e-05,1.91014e-05,3.30206e-07,0.492118
99,9.73881,8.57174e-05,9.41595e-05,1.92406e-05,3.26338e-07,0.498067
100.5,9.74072,8.6111e-05,9.44884e-05,1.93755e-05,3.2257e-07,0.503861
102,9.74255,8.6492e-05,9.4806e-05,1.95061e-05,3.18901e-07,0.509504
103.5,9.74432,8.68611e-05,9.51128e-05,1.96327e-05,3.15329e-07,0.514999
105,9.74603,8.72186e-05,9.54092e-05,1.97554e-05,3.11849e-07,0.52035
106.5,9.74768,8.7565e-05,9.56957e-05,1.98743e-05,3.08461e-07,0.525561
108,9.74926,8.79007e-05,9.59725e-05,1.99896e-05,3.05161e-07,0.530635
109.5,9.75079,8.82261e-05,9.62402e-05,2.01014e-05,3.01948e-07,0.535578
111,9.75227,8.85416e-05,9.64991e-05,2.02097e-05,2.98818e-07,0.540391
112.5,9.7537,8.88476e-05,9.67496e-05,2.03149e-05,2.9577e-07,0.545079
114,9.75507,8.91444e-05,9.6992e-05,2.04169e-05,2.928e-07,0.549646
115.5,9.7564,8.94324e-05,9.72266e-05,2.05158e-05,2.89908e-07,0.554095
117,9.75769,8.9712e-05,9.74537e-05,2.06119e-05,2.87089e-07,0.55843
118.5,9.75894,8.99834e-05,9.76738e-05,2.07052e-05,2.84342e-07,0.562654
120,9.76014,9.0247e-05,9.78869e-05,2.07958e-05,2.81666e-07,0.566771
121.5,9.76131,9.0503e-05,9.80935e-05,2.08838e-05,2.79056e-07,0.570784
123,9.76243,9.07518e-05,9.82938e-05,2.09693e-05,2.76513e-07,0.574696
124.5,9.76353,9.09936e-05,9.84881e-05,2.10524e-05,2.74033e-07,0.578511
126,9.76459,9.12287e-05,9.86765e-05,2.11331e-05,2.71614e-07,0.582231
127.5,9.76561,9.14573e-05,9.88594e-05,2.12117e-05,2.69254e-07,0.58586
129,9.76661,9.16798e-05,9.9037e-05,2.12881e-05,2.66952e-07,0.5894
130.5,9.76758,9.18962e-05,9.92094e-05,2.13624e-05,2.64706e-07,0.592855
132,9.76851,9.21069e-05,9.93768e-05,2.14348e-05,2.62514e-07,0.596227
133.5,9.76942,9.2312e-05,9.95396e-05,2.15052e-05,2.60373e-07,0.599519
135,9.77031,9.25118e-05,9.96978e-05,2.15738e-05,2.58284e-07,0.602733
136.5,9.77117,9.27065e-05,9.98516e-05,2.16407e-05,2.56243e-07,0.605872
138,9.772,9.28962e-05,0.000100001,2.17058e-05,2.54249e-07,0.608939
139.5,9.77282,9.30811e-05,0.000100147,2.17693e-05,2.523e-07,0.611935
141,9.77361,9.32614e-05,0.000100289,2.18311e-05,2.50396e-07,0.614863
142.5,9.77438,9.34373e-05,0.000100427,2.18915e-05,2.48535e-07,0.617726
144,9.77512,9.3609e-05,0.000100561,2.19504e-05,2.46715e-07,0.620525
145.5,9.77585,9.37765e-05,0.000100692,2.20078e-05,2.44935e-07,0.623263
147,9.77656,9.394e-05,0.00010082,2.20639e-05,2.43194e-07,0.625941
148.5,9.77725,9.40997e-05,0.000100944,2.21187e-05,2.4149e-07,0.628562
150,9.77793,9.42557e-05,0.000101066,2.21722e-05,2.39823e-07,0.631126
151.5,9.77859,9.44081e-05,0.000101184,2.22244e-05,2.3819e-07,0.633637
153,9.77923,9.45571e-05,0.0001013,2.22755e-05,2.36592e-07,0.636095
154.5,9.77985,9.47028e-05,0.000101413,2.23254e-05,2.35026e-07,0.638503
156,9.78046,9.48452e-05,0.000101523,2.23743e-05,2.33493e-07,0.640862
157.5,9.78106,9.49846e-05,0.000101631,2.2422e-05,2.3199e-07,0.643173
159,9.78164,9.51209e-05,0.000101737,2.24687e-05,2.30517e-07,0.645439
160.5,9.78221,9.52544e-05,0.000101839,2.25145e-05,2.29073e-07,0.64766
162,9.78277,9.5385e-05,0.00010194,2.25592e-05,2.27657e-07,0.649837
163.5,9.78331,9.55129e-05,0.000102039,2.26031e-05,2.26269e-07,0.651973
165,9.78385,9.56383e-05,0.000102135,2.2646e-05,2.24906e-07,0.654068
166.5,9.78437,9.5761e-05,0.000102229,2.2688e-05,2.2357e-07,0.656124
168,9.78487,9.58813e-05,0.000102322,2.27293e-05,2.22258e-07,0.658142
169.5,9.78537,9.59993e-05,0.000102412,2.27697e-05,2.2097e-07,0.660123
171,9.78586,9.61149e-05,0.000102501,2.28093e-05,2.19705e-07,0.662068
172.5,9.78634,9.62283e-05,0.000102587,2.28481e-05,2.18463e-07,0.663978
174,9.78681,9.63396e-05,0.000102673,2.28862e-05,2.17244e-07,0.665854
175.5,9.78726,9.64487e-05,0.000102756,2.29236e-05,2.16045e-07,0.667697
177,9.78771,9.65559e-05,0.000102838,2.29603e-05,2.14867e-07,0.669509
178.5,9.78815,9.6661e-05,0.000102918,2.29963e-05,2.1371e-07,0.671289
180,9.78859,9.67642e-05,0.000102997,2.30317e-05,2.12572e-07,0.67304
181.5,9.78901,9.68656e-05,0.000103074,2.30664e-05,2.11453e-07,0.674761
183,9.78942,9.69652e-05,0.00010315,2.31005e-05,2.10352e-07,0.676453
184.5,9.78983,9.70631e-05,0.000103224,2.3134e-05,2.0927e-07,0.678118
186,9.79023,9.71592e-05,0.000103297,2.3167e-05,2.08204e-07,0.679757
187.5,9.79062,9.72537e-05,0.000103369,2.31993e-05,2.07156e-07,0.681369
189,9.79101,9.73466e-05,0.00010344,2.32312e-05,2.06125e-07,0.682955
190.5,9.79139,9.7438e-05,0.000103509,2.32625e-05,2.05109e-07,0.684517
192,9.79176,9.75278e-05,0.000103577,2.32932e-05,2.0411e-07,0.686054
193.5,9.79213,9.76162e-05,0.000103644,2.33235e-05,2.03125e-07,0.687569
195,9.79249,9.77031e-05,0.00010371,2.33533e-05,2.02156e-07,0.68906
196.5,9.79284,9.77886e-05,0.000103775,2.33826e-05,2.01201e-07,0.690529
198,9.79319,9.78728e-05,0.000103838,2.34115e-05,2.0026e-07,0.691976
199.5,9.79353,9.79557e-05,0.000103901,2.34399e-05,1.99332e-07,0.693402
201,9.79386,9.80373e-05,0.000103963,2.34678e-05,1.98419e-07,0.694808
202.5,9.79419,9.81176e-05,0.000104024,2.34954e-05,1.97518e-07,0.696193
204,9.79452,9.81967e-05,0.000104083,2.35225e-05,1.9663e-07,0.697559
205.5,9.79484,9.82746e-05,0.000104142,2.35492e-05,1.95755e-07,0.698905
207,9.79515,9.83514e-05,0.0001042,2.35756e-05,1.94891e-07,0.700233
208.5,9.79546,9.8427e-05,0.000104257,2.36015e-05,1.9404e-07,0.701543
210,9.79577,9.85016e-05,0.000104314,2.36271e-05,1.932e-07,0.702835
211.5,9.79607,9.85751e-05,0.000104369,2.36523e-05,1.92371e-07,0.704109
213,9.79636,9.86475e-05,0.000104424,2.36771e-05,1.91554e-07,0.705366
214.5,9.79665,9.87189e-05,0.000104478,2.37016e-05,1.90747e-07,0.706607
216,9.79694,9.87893e-05,0.000104531,2.37258e-05,1.89951e-07,0.707832
217.5,9.79722,9.88587e-05,0.000104583,2.37496e-05,1.89165e-07,0.709041
219,9.7975,9.89272e-05,0.000104635,2.37731e-05,1.88389e-07,0.710234
220.5,9.79777,9.89947e-05,0.000104685,2.37963e-05,1.87623e-07,0.711412
222,9.79805,9.90614e-05,0.000104736,2.38191e-05,1.86867e-07,0.712575
223.5,9.79831,9.91271e-05,0.000104785,2.38417e-05,1.8612e-07,0.713724
225,9.79857,9.9192e-05,0.000104834,2.3864e-05,1.85382e-07,0.714858
226.5,9.79883,9.9256e-05,0.000104882,2.3886e-05,1.84654e-07,0.715979
228,9.79909,9.93192e-05,0.00010493,2.39077e-05,1.83934e-07,0.717086
229.5,9.79934,9.93816e-05,0.000104977,2.39291e-05,1.83223e-07,0.71818
231,9.79959,9.94432e-05,0.000105023,2.39503e-05,1.8252e-07,0.719261
232.5,9.79984,9.95041e-05,0.000105069,2.39712e-05,1.81826e-07,0.720329
