Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.19055,1.10145e-06,1.49784e-05,4.44408e-10,1.22391e-06,1.47825e-07
3,6.33685,2.05378e-06,1.59303e-05,7.96849e-10,1.05977e-06,4.9423e-07
4.5,6.45926,2.91465e-06,1.67905e-05,1.2723e-09,9.5912e-07,1.1199e-06
6,6.56803,3.71317e-06,1.75883e-05,1.89622e-09,8.90636e-07,2.12634e-06
7.5,6.66899,4.46609e-06,1.83402e-05,2.70702e-09,8.40719e-07,3.65107e-06
9,6.76599,5.18403e-06,1.90571e-05,3.7615e-09,8.0254e-07,5.88883e-06
10.5,6.86195,5.87416e-06,1.97459e-05,5.14455e-09,7.72298e-07,9.12627e-06
12,6.9594,6.54158e-06,2.0412e-05,6.98687e-09,7.47712e-07,1.38028e-05
13.5,7.06091,7.19011e-06,2.1059e-05,9.49741e-09,7.27339e-07,2.06225e-05
15,7.16936,7.82271e-06,2.16899e-05,1.30257e-08,7.10238e-07,3.07721e-05
16.5,7.28821,8.44178e-06,2.23072e-05,1.81847e-08,6.95801e-07,4.63596e-05
18,7.42144,9.04941e-06,2.29129e-05,2.60918e-08,6.83676e-07,7.13057e-05
19.5,7.57236,9.64761e-06,2.35091e-05,3.87697e-08,6.73748e-07,0.000112957
21,7.73933,1.02384e-05,2.40977e-05,5.94004e-08,6.66098e-07,0.000183663
22.5,7.90973,1.08239e-05,2.46809e-05,9.11221e-08,6.60759e-07,0.000297857
24,8.06517,1.14058e-05,2.52605e-05,1.34268e-07,6.57356e-07,0.000462487
25.5,8.19638,1.19854e-05,2.58375e-05,1.86344e-07,6.5522e-07,0.000674475
27,8.30459,1.25631e-05,2.64126e-05,2.44646e-07,6.53806e-07,0.000928188
28.5,8.39447,1.31395e-05,2.69862e-05,3.07408e-07,6.52791e-07,0.00121982
30,8.4704,1.37147e-05,2.75585e-05,3.73623e-07,6.52002e-07,0.00154746
31.5,8.53569,1.42888e-05,2.81297e-05,4.42716e-07,6.51346e-07,0.00191038
33,8.59272,1.48618e-05,2.86996e-05,5.1434e-07,6.50768e-07,0.00230846
34.5,8.64321,1.5434e-05,2.92686e-05,5.88272e-07,6.50236e-07,0.00274192
36,8.68843,1.60051e-05,2.98364e-05,6.64358e-07,6.49731e-07,0.00321116
37.5,8.72932,1.65754e-05,3.04033e-05,7.42486e-07,6.49238e-07,0.00371666
39,8.7666,1.71447e-05,3.09691e-05,8.22569e-07,6.48748e-07,0.00425896
40.5,8.80083,1.77132e-05,3.15338e-05,9.04535e-07,6.48256e-07,0.00483862
42,8.83245,1.82807e-05,3.20975e-05,9.88325e-07,6.47755e-07,0.00545622
43.5,8.8618,1.88472e-05,3.26602e-05,1.07388e-06,6.47243e-07,0.0061123
45,8.88918,1.94128e-05,3.32218e-05,1.16117e-06,6.46716e-07,0.00680743
46.5,8.91483,1.99775e-05,3.37824e-05,1.25013e-06,6.46172e-07,0.00754213
48,8.93893,2.05411e-05,3.43418e-05,1.34072e-06,6.4561e-07,0.00831693
49.5,8.96167,2.11038e-05,3.49002e-05,1.43291e-06,6.45027e-07,0.00913232
51,8.98317,2.16654e-05,3.54574e-05,1.52667e-06,6.44423e-07,0.00998878
52.5,9.00355,2.22261e-05,3.60135e-05,1.62194e-06,6.43797e-07,0.0108868
54,9.02293,2.27856e-05,3.65685e-05,1.71871e-06,6.43147e-07,0.0118267
55.5,9.04138,2.33441e-05,3.71222e-05,1.81693e-06,6.42473e-07,0.012809
57,9.059,2.39016e-05,3.76748e-05,1.91656e-06,6.41774e-07,0.0138341
58.5,9.07584,2.44578e-05,3.82261e-05,2.01759e-06,6.4105e-07,0.0149022
