Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,9,0,1.38772e-05,6.20114e-07,6.5089e-07,0
1.5,9.02227,5.85259e-07,1.55353e-05,7.291e-07,6.50762e-07,0.000128865
3,9.04334,1.16983e-06,1.80021e-05,8.84899e-07,6.50602e-07,0.000312621
4.5,9.06333,1.75365e-06,2.12727e-05,1.09248e-06,6.50393e-07,0.000578571
6,9.08233,2.33661e-06,2.53674e-05,1.35801e-06,6.50113e-07,0.000958273
7.5,9.10043,2.91857e-06,3.02975e-05,1.68723e-06,6.49739e-07,0.00148711
9,9.1177,3.49937e-06,3.60656e-05,2.08534e-06,6.49245e-07,0.00220378
10.5,9.1342,4.0788e-06,4.26697e-05,2.55717e-06,6.48604e-07,0.00314987
12,9.14999,4.65663e-06,5.01049e-05,3.10722e-06,6.47787e-07,0.00436963
13.5,9.16512,5.2326e-06,5.83655e-05,3.73977e-06,6.46764e-07,0.00590965
15,9.17962,5.80639e-06,6.74451e-05,4.45883e-06,6.45502e-07,0.00781858
16.5,9.19354,6.37768e-06,7.73372e-05,5.26825e-06,6.43969e-07,0.0101468
18,9.20691,6.94608e-06,8.80351e-05,6.17161e-06,6.42131e-07,0.0129461
19.5,9.21976,7.51121e-06,9.95323e-05,7.17229e-06,6.39953e-07,0.0162693
21,9.23211,8.07262e-06,0.000111822,8.27343e-06,6.37401e-07,0.0201697
22.5,9.24399,8.62986e-06,0.000124897,9.47792e-06,6.34439e-07,0.0247011
24,9.25542,9.18243e-06,0.000138752,1.07884e-05,6.31034e-07,0.0299169
25.5,9.2664,9.72984e-06,0.000153378,1.22073e-05,6.27149e-07,0.0358696
27,9.27697,1.02715e-05,0.000168771,1.37367e-05,6.22753e-07,0.0426107
28.5,9.28714,1.0807e-05,0.000184923,1.53785e-05,6.17813e-07,0.0501901
30,9.29691,1.13355e-05,0.000201826,1.71342e-05,6.12297e-07,0.0586553
31.5,9.3063,1.18567e-05,0.000219476,1.90051e-05,6.06177e-07,0.068051
33,9.31533,1.23698e-05,0.000237865,2.09922e-05,5.99425e-07,0.0784189
34.5,9.32399,1.28743e-05,0.000256986,2.30961e-05,5.92016e-07,0.0897968
36,9.3323,1.33694e-05,0.000276833,2.53172e-05,5.8393e-07,0.102218
37.5,9.34028,1.38547e-05,0.0002974,2.76555e-05,5.75147e-07,0.115712
39,9.34791,1.43294e-05,0.000318679,3.01108e-05,5.65651e-07,0.130302
40.5,9.35522,1.4793e-05,0.000340665,3.26826e-05,5.55431e-07,0.146007
42,9.36221,1.5245e-05,0.000363351,3.537e-05,5.44477e-07,0.16284
43.5,9.36888,1.56846e-05,0.000386731,3.81718e-05,5.32787e-07,0.180807
45,9.37525,1.61112e-05,0.000410798,4.10864e-05,5.20361e-07,0.199906
46.5,9.38131,1.65243e-05,0.000435545,4.4112e-05,5.07204e-07,0.220131
48,9.38706,1.69233e-05,0.000460968,4.72465e-05,4.93325e-07,0.241465
49.5,9.39252,1.73075e-05,0.000487058,5.04874e-05,4.78739e-07,0.263887
51,9.39769,1.76765e-05,0.000513811,5.38319e-05,4.63466e-07,0.287366
52.5,9.40257,1.80296e-05,0.00054122,5.72769e-05,4.4753e-07,0.311865
54,9.40717,1.83665e-05,0.000569279,6.08192e-05,4.3096e-07,0.337339
55.5,9.41148,1.86866e-05,0.000597981,6.4455e-05,4.13791e-07,0.363736
57,9.41551,1.89894e-05,0.000627322,6.81804e-05,3.96061e-07,0.390995
58.5,9.41927,1.92747e-05,0.000657295,7.19915e-05,3.77813e-07,0.419052
60,9.42276,1.95419e-05,0.000687894,7.58838e-05,3.59094e-07,0.447834
61.5,9.42598,1.97909e-05,0.000719113,7.98528e-05,3.39954e-07,0.477262
63,9.42893,2.00214e-05,0.000750948,8.38938e-05,3.20448e-07,0.507254
64.5,9.43163,2.02332e-05,0.000783392,8.8002e-05,3.00634e-07,0.537721
66,9.43406,2.04261e-05,0.000816439,9.21724e-05,2.80569e-07,0.568572
67.5,9.43624,2.06e-05,0.000850085,9.63999e-05,2.60317e-07,0.599712
69,9.43818,2.07549e-05,0.000884325,0.000100679,2.39941e-07,0.631045
70.5,9.43986,2.08908e-05,0.000919152,0.000105005,2.19503e-07,0.66247
72,9.44131,2.10078e-05,0.000954562,0.000109373,1.9907e-07,0.69389
73.5,9.44252,2.1106e-05,0.000990549,0.000113777,1.78705e-07,0.725206
75,9.4435,2.11857e-05,0.00102711,0.000118212,1.58472e-07,0.756318
76.5,9.44425,2.1247e-05,0.00106424,0.000122673,1.38433e-07,0.787131
78,9.44478,2.12903e-05,0.00110193,0.000127155,1.1865e-07,0.817551
79.5,9.44509,2.1316e-05,0.00114018,0.000131652,9.91808e-08,0.847489
81,9.44519,2.13243e-05,0.00117898,0.000136161,8.00818e-08,0.876858
82.5,9.44509,2.13159e-05,0.00121833,0.000140677,6.1406e-08,0.905576
84,9.44479,2.12911e-05,0.00125823,0.000145194,4.3203e-08,0.933567
85.5,9.44429,2.12505e-05,0.00129867,0.000149708,2.55187e-08,0.96076
