Time,pH,mCa,mTIC,mCO3,rdiss,Omega
s,-,mol/kg,mol/kg,mol/kg,mol/m^2s,-
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
10,6.26912,2.26327e-06,1.61405e-05,6.36162e-10,1.12893e-06,4.34814e-07
20,6.4241,4.23457e-06,1.81118e-05,1.22055e-09,9.85188e-07,1.56087e-06
30,6.5321,6.05776e-06,1.99349e-05,1.91612e-09,9.11387e-07,3.50539e-06
40,6.61507,7.78992e-06,2.16671e-05,2.70831e-09,8.65929e-07,6.37135e-06
50,6.68254,9.45991e-06,2.33371e-05,3.58962e-09,8.34853e-07,1.0255e-05
60,6.73948,1.10844e-05,2.49616e-05,4.5555e-09,8.12133e-07,1.52493e-05
70,6.78879,1.26742e-05,2.65514e-05,5.60287e-09,7.94726e-07,2.14452e-05
80,6.83231,1.42363e-05,2.81134e-05,6.72942e-09,7.80919e-07,2.89317e-05
90,6.87128,1.57759e-05,2.96531e-05,7.93338e-09,7.69675e-07,3.77965e-05
100,6.90658,1.72967e-05,3.11739e-05,9.21331e-09,7.60322e-07,4.8126e-05
110,6.93886,1.88018e-05,3.2679e-05,1.0568e-08,7.5241e-07,6.00056e-05
120,6.96859,2.02933e-05,3.41705e-05,1.19964e-08,7.4562e-07,7.35194e-05
130,6.99617,2.1773e-05,3.56502e-05,1.34975e-08,7.39724e-07,8.87506e-05
140,7.02187,2.32423e-05,3.71195e-05,1.50706e-08,7.34551e-07,0.000105782
150,7.04595,2.47025e-05,3.85797e-05,1.67149e-08,7.29973e-07,0.000124694
160,7.0686,2.61545e-05,4.00317e-05,1.84296e-08,7.25889e-07,0.000145567
170,7.08999,2.75992e-05,4.14764e-05,2.02143e-08,7.22223e-07,0.000168483
180,7.11023,2.90373e-05,4.29145e-05,2.20681e-08,7.1891e-07,0.000193518
190,7.12946,3.04693e-05,4.43465e-05,2.39907e-08,7.159e-07,0.000220752
200,7.14777,3.18958e-05,4.5773e-05,2.59813e-08,7.13153e-07,0.000250262
210,7.16524,3.33173e-05,4.71945e-05,2.80396e-08,7.10634e-07,0.000282125
220,7.18195,3.47342e-05,4.86114e-05,3.01649e-08,7.08314e-07,0.000316417
230,7.19795,3.61468e-05,5.0024e-05,3.23569e-08,7.06171e-07,0.000353213
240,7.21332,3.75554e-05,5.14326e-05,3.4615e-08,7.04183e-07,0.000392588
250,7.22808,3.89603e-05,5.28375e-05,3.69388e-08,7.02334e-07,0.000434615
260,7.2423,4.03617e-05,5.42389e-05,3.93277e-08,7.00608e-07,0.000479368
270,7.256,4.17599e-05,5.56372e-05,4.17815e-08,6.98993e-07,0.000526919
280,7.26922,4.31551e-05,5.70323e-05,4.42996e-08,6.97479e-07,0.000577341
290,7.282,4.45475e-05,5.84247e-05,4.68816e-08,6.96054e-07,0.000630705
300,7.29436,4.59371e-05,5.98143e-05,4.95272e-08,6.94711e-07,0.00068708
310,7.30633,4.73242e-05,6.12014e-05,5.22358e-08,6.93442e-07,0.000746538
320,7.31793,4.87089e-05,6.25862e-05,5.50071e-08,6.92241e-07,0.000809147
330,7.32918,5.00914e-05,6.39686e-05,5.78407e-08,6.91102e-07,0.000874976
340,7.3401,5.14716e-05,6.53489e-05,6.07361e-08,6.90019e-07,0.000944094
350,7.35071,5.28499e-05,6.67271e-05,6.3693e-08,6.88988e-07,0.00101657
360,7.36103,5.42261e-05,6.81033e-05,6.6711e-08,6.88005e-07,0.00109246
370,7.37108,5.56004e-05,6.94777e-05,6.97896e-08,6.87066e-07,0.00117184
380,7.38085,5.6973e-05,7.08502e-05,7.29286e-08,6.86167e-07,0.00125478
390,7.39038,5.83438e-05,7.22211e-05,7.61274e-08,6.85305e-07,0.00134133
400,7.39966,5.9713e-05,7.35903e-05,7.93858e-08,6.84478e-07,0.00143157
410,7.40872,6.10806e-05,7.49578e-05,8.27033e-08,6.83683e-07,0.00152555
420,7.41756,6.24467e-05,7.63239e-05,8.60795e-08,6.82917e-07,0.00162334
430,7.42618,6.38113e-05,7.76885e-05,8.95141e-08,6.8218e-07,0.001725
440,7.43461,6.51744e-05,7.90517e-05,9.30067e-08,6.81467e-07,0.00183059
450,7.44285,6.65362e-05,8.04134e-05,9.65568e-08,6.80779e-07,0.00194018
460,7.45091,6.78967e-05,8.17739e-05,1.00164e-07,6.80113e-07,0.00205381
470,7.45879,6.92558e-05,8.31331e-05,1.03828e-07,6.79467e-07,0.00217156
480,7.4665,7.06137e-05,8.4491e-05,1.07549e-07,6.78841e-07,0.00229349
490,7.47404,7.19704e-05,8.58477e-05,1.11326e-07,6.78233e-07,0.00241964
500,7.48143,7.33259e-05,8.72032e-05,1.15158e-07,6.77641e-07,0.00255007
510,7.48867,7.46803e-05,8.85575e-05,1.19046e-07,6.77065e-07,0.00268486
520,7.49577,7.60335e-05,8.99108e-05,1.22989e-07,6.76504e-07,0.00282404
530,7.50272,7.73857e-05,9.12629e-05,1.26986e-07,6.75956e-07,0.00296767
540,7.50955,7.87367e-05,9.2614e-05,1.31037e-07,6.75421e-07,0.00311582
550,7.51624,8.00868e-05,9.3964e-05,1.35143e-07,6.74898e-07,0.00326853
560,7.5228,8.14358e-05,9.5313e-05,1.39301e-07,6.74387e-07,0.00342587
570,7.52924,8.27838e-05,9.6661e-05,1.43513e-07,6.73885e-07,0.00358787
580,7.53557,8.41308e-05,9.8008e-05,1.47777e-07,6.73393e-07,0.00375459
590,7.54178,8.54768e-05,9.93541e-05,1.52094e-07,6.72911e-07,0.0039261
600,7.54788,8.68219e-05,0.000100699,1.56463e-07,6.72436e-07,0.00410242
610,7.55387,8.81661e-05,0.000102043,1.60883e-07,6.7197e-07,0.00428363
620,7.55976,8.95093e-05,0.000103387,1.65354e-07,6.71511e-07,0.00446976
630,7.56555,9.08517e-05,0.000104729,1.69876e-07,6.71059e-07,0.00466086
640,7.57124,9.21931e-05,0.00010607,1.74449e-07,6.70613e-07,0.00485699
650,7.57684,9.35337e-05,0.000107411,1.79072e-07,6.70173e-07,0.00505819
660,7.58235,9.48734e-05,0.000108751,1.83744e-07,6.69739e-07,0.00526451
670,7.58776,9.62123e-05,0.000110089,1.88466e-07,6.69309e-07,0.00547599
680,7.59309,9.75503e-05,0.000111427,1.93236e-07,6.68885e-07,0.00569269
690,7.59833,9.88874e-05,0.000112765,1.98055e-07,6.68464e-07,0.00591463
700,7.6035,0.000100224,0.000114101,2.02923e-07,6.68048e-07,0.00614188
710,7.60858,0.000101559,0.000115436,2.07838e-07,6.67635e-07,0.00637447
720,7.61358,0.000102894,0.000116771,2.12801e-07,6.67226e-07,0.00661245
730,7.61851,0.000104228,0.000118105,2.1781e-07,6.6682e-07,0.00685586
